Country Name,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Tests,Population
Hong Kong,11608,207 ,11227,174,11193673,7544369
Curaçao,11385,68 ,6845,4472,85247,164617
Guyana,11189,257 ,9751,1181,99746,789513
Lesotho,10709,315 ,5028,5366,71629,2155481
South Sudan,10381,114 ,10148,119,139846,11295828
Congo,10084,137 ,8208,1739,92500,5623185
Aruba,10076,92 ,9468,516,136656,107120
Djibouti,9975,100 ,8184,1691,140642,999165
Bahamas,9460,190 ,8865,405,80573,396170
Suriname,9316,182 ,8700,434,46195,590726
Martinique,9028,57 ,98,8873,133358,375038
Papua New Guinea,8821,69 ,846,7906,70260,9078488
Trinidad and Tobago,8441,146 ,7775,520,117847,1403025
Benin,7515,93 ,6452,970,548484,12368739
Equatorial Guinea,7219,106 ,6799,314,115364,1438522
Nicaragua,6727,179 ,4225,2323,,6685869
Iceland,6267,29 ,6140,98,562645,342969
Gambia,5602,168 ,5145,289,59297,2469123
CAR,5491,74 ,5056,361,40907,4894947
Yemen,5446,1068 ,2059,2319,22934,30334834
Niger,5081,189 ,4760,132,93751,24881206
San Marino,4962,86 ,4510,366,56114,33987
Cambodia,4696,33 ,2252,2411,782811,16898828
Chad,4641,167 ,4298,176,110863,16789929
Seychelles,4444,25 ,4161,258,21504,98822
Saint Lucia,4355,64 ,4179,112,37758,184282
Gibraltar,4277,94 ,4181,2,219808,33683
Channel Islands,4051,86 ,3956,9,399901,175111
Sierra Leone,4008,79 ,2831,1098,118332,8102739
Comoros,3789,146 ,3577,66,,883955
Barbados,3734,44 ,3613,77,146355,287650
Guinea-Bissau,3680,66 ,3069,545,60281,2004008
Eritrea,3466,10 ,3196,260,23693,3584575
Burundi,3154,6 ,773,2375,90019,12164194
Liechtenstein,2754,56 ,2625,73,32252,38213
Vietnam,2707,35 ,2445,227,2598753,98020700
New Zealand,2587,26 ,2459,102,1948223,5002100
Monaco,2377,31 ,2247,99,51953,39459
Turks and Caicos,2357,17 ,2283,57,41059,39124
Sao Tome and Principe,2267,35 ,2188,44,12597,222316
Sint Maarten,2185,27 ,2118,40,25304,43255
Liberia,2042,85 ,1899,58,79684,5149709
Bermuda,1891,16 ,998,877,217688,62098
St. Vincent Grenadines,1806,10 ,1665,131,43985,111215
Saint Martin,1693,12 ,1399,282,26385,39178
Isle of Man,1574,29 ,1445,100,44761,85384
Caribbean Netherlands,1519,14 ,1396,109,10011,26413
Antigua and Barbuda,1198,30 ,938,230,16493,98561
Mauritius,1197,15 ,797,385,358675,1273416
Taiwan,1062,11 ,1027,24,513203,23850438
Timor-Leste,1046,1 ,550,495,50556,1337923
Bhutan,921,1 ,875,45,652722,778220
St. Barth,907,1 ,462,444,26385,9901
Faeroe Islands,661,1 ,660,0,246793,49008
Cayman Islands,516,2 ,487,27,84802,66322
Tanzania,509,21 ,183,305,,61048540
Wallis and Futuna,437,5 ,44,388,1331,11084
Brunei ,219,3 ,206,10,116596,440741
British Virgin Islands,178,1 ,159,18,13223,30388
Dominica,165, ,159,6,13500,72126
Grenada,155,1 ,152,2,23989,112930
New Caledonia,121, ,58,63,29182,287635
Fiji,68,2 ,64,2,40300,901508
Falkland Islands,60, ,54,6,7165,3558
Laos,52, ,49,3,143481,7357605
Macao,49, ,48,1,4418,656216
Saint Kitts and Nevis,44, ,44,0,12381,53492
Greenland,31, ,31,0,20669,56847
Vatican City,27, ,15,12,,803
Anguilla,25, ,22,3,14579,15107
Saint Pierre Miquelon,24, ,24,0,5126,5772
Montserrat,20,1 ,19,0,1313,4994
Solomon Islands,19, ,18,1,4500,699918
Western Sahara,10,1 ,8,1,,608703
Marshall Islands,4, ,4,0,,59501
Samoa,3, ,2,1,,199442
Vanuatu,3, ,1,2,470,312702
Micronesia,1, ,1,0,,115962
China,90435,4636 ,85506,293,160000000,1439323776
